                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.59447,                 1.0327,                 1.0348,                 1.0386,                0.63799,                0.67683,                0.68177,                0.60568,                0.63287,                 0.6744,                0.67395,                0.59293,                0.57147,                 1.1552,                 1.1563,                 1.0344,               0.004159,               0.004159,               0.004159
                     62,                0.58783,                 1.0261,                 1.0373,                 1.0351,                0.69473,                0.65992,                0.67908,                0.60897,                0.69079,                0.65673,                0.67431,                0.59545,                0.56748,                 1.1538,                 1.1516,                 1.0287,                0.00406,                0.00406,                0.00406
                     63,                0.58696,                 1.0234,                 1.0215,                  1.029,                0.71784,                 0.6384,                0.68448,                0.61144,                0.71273,                0.63449,                0.67952,                0.59915,                0.56993,                 1.1577,                 1.1609,                 1.0308,               0.003961,               0.003961,               0.003961
                     64,                0.58396,                 1.0144,                 1.0056,                   1.03,                0.72995,                0.61326,                0.68236,                 0.6141,                 0.7263,                0.61072,                0.67941,                0.60047,                0.57188,                 1.1543,                 1.1519,                 1.0369,               0.003862,               0.003862,               0.003862
                     65,                0.58015,                 1.0076,                 1.0118,                 1.0298,                0.70325,                 0.6517,                0.69433,                0.62391,                0.69576,                0.65112,                 0.6917,                0.61118,                0.56376,                 1.1502,                 1.1442,                  1.024,               0.003763,               0.003763,               0.003763
                     66,                0.57958,                  1.008,                 1.0066,                 1.0294,                0.69265,                0.64829,                0.68541,                0.61439,                0.68752,                0.64497,                0.68155,                0.60186,                0.56829,                 1.1481,                 1.1335,                 1.0277,               0.003664,               0.003664,               0.003664
                     67,                0.57765,                 1.0032,                0.99124,                 1.0274,                0.69982,                0.64323,                0.68954,                0.62236,                0.69841,                0.64194,                0.68984,                0.60851,                0.56935,                 1.1464,                  1.139,                 1.0327,               0.003565,               0.003565,               0.003565
                     68,                0.57565,                 1.0088,                0.98916,                 1.0282,                0.68553,                0.64616,                0.69426,                0.62357,                0.68515,                0.64226,                0.69132,                0.60854,                0.56978,                 1.1484,                  1.134,                 1.0333,               0.003466,               0.003466,               0.003466
                     69,                0.57927,                0.99601,                0.97792,                  1.026,                0.70107,                0.63989,                0.69781,                0.62898,                0.70165,                0.63968,                0.69649,                0.61408,                0.57586,                 1.1602,                 1.1325,                  1.036,               0.003367,               0.003367,               0.003367
                     70,                0.57498,                0.99331,                0.96603,                 1.0244,                0.71798,                0.62356,                0.68982,                0.62381,                0.71838,                0.62291,                0.68899,                 0.6099,                0.57274,                 1.1675,                 1.1376,                 1.0377,               0.003268,               0.003268,               0.003268
                     71,                0.57743,                 1.0056,                0.95966,                 1.0268,                0.70671,                 0.6315,                0.68567,                0.61845,                0.68786,                0.64442,                0.68664,                0.60684,                0.57331,                 1.1636,                 1.1487,                  1.039,               0.003169,               0.003169,               0.003169
                     72,                 0.5717,                 1.0008,                0.96216,                 1.0243,                 0.6813,                0.65813,                0.68773,                0.62027,                0.67613,                0.65603,                0.68651,                0.60721,                0.57138,                  1.159,                 1.1598,                 1.0395,                0.00307,                0.00307,                0.00307
                     73,                0.56991,                0.98701,                0.94346,                 1.0266,                0.68354,                0.66134,                0.69041,                0.62065,                0.67789,                0.65704,                0.68561,                0.60812,                0.57394,                 1.1538,                 1.1644,                 1.0385,               0.002971,               0.002971,               0.002971
                     74,                0.57041,                 0.9874,                0.94301,                 1.0226,                0.69817,                0.63357,                 0.6922,                 0.6203,                0.67538,                0.64828,                0.68878,                0.60904,                0.57062,                 1.1441,                 1.1623,                  1.034,               0.002872,               0.002872,               0.002872
                     75,                0.56435,                0.98652,                 0.9393,                 1.0192,                0.69888,                0.63676,                0.69129,                0.62123,                0.69729,                0.63932,                 0.6903,                0.61219,                0.57204,                 1.1428,                 1.1648,                 1.0347,               0.002773,               0.002773,               0.002773
                     76,                0.56059,                0.97668,                0.92649,                 1.0182,                0.69193,                0.65433,                0.69276,                0.62197,                0.69002,                0.65383,                0.69128,                0.61248,                0.57399,                 1.1402,                  1.167,                 1.0373,               0.002674,               0.002674,               0.002674
                     77,                0.56073,                0.98589,                0.92065,                 1.0193,                0.70481,                0.64421,                0.69383,                0.62286,                0.70507,                0.64322,                 0.6923,                 0.6116,                0.57612,                 1.1456,                 1.1675,                 1.0411,               0.002575,               0.002575,               0.002575
                     78,                0.56101,                0.98264,                0.92306,                 1.0168,                0.70143,                0.64103,                0.69157,                0.62082,                0.69884,                0.64057,                 0.6907,                0.60897,                0.57854,                  1.139,                 1.1769,                 1.0424,               0.002476,               0.002476,               0.002476
                     79,                0.55873,                0.97445,                0.91046,                  1.012,                0.67093,                0.67284,                0.69002,                 0.6192,                0.67164,                 0.6693,                0.68792,                0.60543,                0.57982,                 1.1487,                 1.1788,                 1.0459,               0.002377,               0.002377,               0.002377
                     80,                0.56351,                0.97797,                  0.913,                 1.0188,                0.66097,                0.67495,                0.68968,                0.62127,                0.66079,                0.67534,                0.68943,                0.60849,                0.58142,                 1.1463,                 1.1852,                 1.0462,               0.002278,               0.002278,               0.002278
                     81,                  0.557,                0.96861,                0.89398,                 1.0142,                0.66503,                0.66768,                0.68607,                0.61823,                0.66565,                0.66753,                0.68625,                0.60565,                0.57971,                 1.1445,                 1.1842,                 1.0438,               0.002179,               0.002179,               0.002179
                     82,                0.55859,                0.97186,                0.89342,                 1.0131,                0.67398,                0.66931,                0.68747,                0.61868,                0.67334,                0.66823,                0.68796,                 0.6068,                0.58003,                 1.1468,                 1.1824,                 1.0451,                0.00208,                0.00208,                0.00208
